,checking_status,duration,credit_history,purpose,credit_amount,savings_status,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,Discrimination,Difficulty,Guessing
checking_status,1.0,-0.06802762462903127,0.19089592235151442,0.11493758513687878,-0.012978432479151298,0.10627617463497299,-0.1846289405088437,-0.04853118452917418,0.127701796692905,-0.0004087177680967066,-0.293071042824868,0.027411872860635997,-0.047116507826466425,-0.0897720439028253,0.054246192103697646,0.16313461688374564,-0.028664204953849658,-0.0004947973443054864,-0.07808605753440406,-0.09348097458659897,-0.3831950507219303,-0.0715519284579043,-0.061543819689743554
duration,-0.06802762462903127,1.0,-0.07137853456437034,0.1858119826710396,0.32869271748809614,0.12551441567051014,0.04236170538034156,0.03049109285290998,0.017547458601092573,-0.08804088986642562,0.07284122956019218,0.43187676228964167,0.11367546759333197,-0.006038969171343705,0.2861595810653323,0.05701529507665629,0.19003074114185903,0.13079340621173202,0.06249588074539052,-0.09307961495621739,0.23403116598112025,0.08690062800078295,0.23404807750753226
credit_history,0.19089592235151442,-0.07137853456437034,1.0,-0.23481690470367417,0.10645973564084647,0.0005930394529080168,0.028272736985200143,0.01422673635738113,0.18063730192500163,0.21552765282090813,0.07558775080894571,0.0030716881651012204,0.05861054982648588,-0.17469518676744353,-0.03471222783606351,0.38870638548383807,0.05715507166599482,0.0015655180943583169,0.11595988027722712,-0.03234983196103155,-0.23136165998512545,-0.07421034022688096,-0.23622348045090555
purpose,0.11493758513687878,0.1858119826710396,-0.23481690470367417,1.0,-0.1054364617816526,-0.08823731166990355,-0.1957159169733561,0.16285971884691827,-0.02302214587328526,-0.016324378410678558,-0.10309775006084676,0.19324242053357404,-0.020452813132079747,-0.01981709760492829,0.08087366015857801,0.10547255787012806,0.04583919011083857,0.18261251751169957,0.02245768058435876,-0.10938497324843749,0.17644717781907823,-0.07774778227260619,0.20362631933017716
credit_amount,-0.012978432479151298,0.32869271748809614,0.10645973564084647,-0.1054364617816526,1.0,0.26063215030693043,0.010598341197669994,-0.47618572726728736,0.05420731505371816,0.032608799804201505,0.19131367726637052,0.449756954176059,0.26969605842838934,-0.00967881264987872,0.3018830432113708,0.0555485465362194,0.2921038928622205,-0.03896659093771772,0.4123084799870419,0.15927245909219936,0.1037089550580095,0.3358703036711077,0.03710789098267046
savings_status,0.10627617463497299,0.12551441567051014,0.0005930394529080168,-0.08823731166990355,0.26063215030693043,1.0,0.1623264808315244,-0.17747602462693463,0.23083368079455635,-0.1969804123952805,-0.012436825179415563,0.06644242968683685,0.08382658817673515,0.07097341117235753,0.1549075475535089,0.04942846612836928,-0.10539730311929407,0.10544678569011638,0.10969365671587013,-0.07039515697979397,-0.34166053959562936,-0.17444908707021242,-0.1859530953711605
employment,-0.1846289405088437,0.04236170538034156,0.028272736985200143,-0.1957159169733561,0.010598341197669994,0.1623264808315244,1.0,0.0007136508183448176,0.057501601279308145,-0.04138618674698606,0.2726499615618298,-0.10203806556583046,0.341927993571893,-0.12753596523516886,0.1349377739851706,0.07685506174391042,0.05400953422143133,0.11159189540125011,-0.07993914962225666,0.176138284809103,-0.05728695855822259,0.06487101981545917,0.02212983691899543
installment_commitment,-0.04853118452917418,0.03049109285290998,0.01422673635738113,0.16285971884691827,-0.47618572726728736,-0.17747602462693463,0.0007136508183448176,1.0,0.06406887992725713,-0.08571698494262525,-0.24781915874355182,-0.14887993933042223,-0.13662986660592621,-0.03424807549351689,0.12181534057861187,-0.10179346492124718,-0.0027899933993717767,0.04212434988382135,-0.11488086975976373,-0.2244383007048742,-0.10615461915511584,-0.18147428540303887,0.0425805092838774
personal_status,0.127701796692905,0.017547458601092573,0.18063730192500163,-0.02302214587328526,0.05420731505371816,0.23083368079455635,0.057501601279308145,0.06406887992725713,1.0,0.05307851165102903,-0.16870332234595697,0.1124016847448556,0.19937043479132835,-0.16372607355153618,0.18092409629065265,0.22372334618871517,-0.11217365563450767,0.30125832365742095,0.20315689622191377,-0.27837241312385197,0.02320139171199945,0.18214178478879192,0.02933647838183582
other_parties,-0.0004087177680967066,-0.08804088986642562,0.21552765282090813,-0.016324378410678558,0.032608799804201505,-0.1969804123952805,-0.04138618674698606,-0.08571698494262525,0.05307851165102903,1.0,0.0213202887159695,0.07830223536422048,0.21261708112182146,-0.30307698519893933,-0.19516596163108202,0.03307130418996587,0.03125640819805389,0.15301879110398178,0.13033063307350193,-0.039974424549814924,-0.027422978858586012,-0.014444784108237107,-0.09735645064354238
residence_since,-0.293071042824868,0.07284122956019218,0.07558775080894571,-0.10309775006084676,0.19131367726637052,-0.012436825179415563,0.2726499615618298,-0.24781915874355182,-0.16870332234595697,0.0213202887159695,1.0,0.0675631804320916,0.3374310516375074,-0.012045137905623289,-0.165966072743159,0.03438274034553215,0.08527512297049328,0.025810530052594,0.07890816492239151,0.11581275925878624,0.16930778572654318,0.033102933473198766,0.11193149988426013
property_magnitude,0.027411872860635997,0.43187676228964167,0.0030716881651012204,0.19324242053357404,0.449756954176059,0.06644242968683685,-0.10203806556583046,-0.14887993933042223,0.1124016847448556,0.07830223536422048,0.0675631804320916,1.0,0.20751513467467408,-0.1697500662370755,0.35555302621332147,0.04127291558352622,0.2201632988367629,0.09479337855024901,0.3000705721435664,-0.05529570105583313,0.31055627579723744,0.22153273244071334,0.2390838762027088
age,-0.047116507826466425,0.11367546759333197,0.05861054982648588,-0.020452813132079747,0.26969605842838934,0.08382658817673515,0.341927993571893,-0.13662986660592621,0.19937043479132835,0.21261708112182146,0.3374310516375074,0.20751513467467408,1.0,-0.2903513398667648,0.07517773878400265,0.18254457018458772,0.10168206409779713,0.2741132100468435,0.2812319294874201,0.10954044004471429,0.02041069267706905,0.25452504406670173,0.006541255767633547
other_payment_plans,-0.0897720439028253,-0.006038969171343705,-0.17469518676744353,-0.01981709760492829,-0.00967881264987872,0.07097341117235753,-0.12753596523516886,-0.03424807549351689,-0.16372607355153618,-0.30307698519893933,-0.012045137905623289,-0.1697500662370755,-0.2903513398667648,1.0,-0.12597435085365327,0.034230903025491394,0.0671297630497805,-0.03434880393151094,-0.007734428900703084,0.05530776153902619,-0.1803975317217206,-0.2154372688738304,-0.12344856137645306
housing,0.054246192103697646,0.2861595810653323,-0.03471222783606351,0.08087366015857801,0.3018830432113708,0.1549075475535089,0.1349377739851706,0.12181534057861187,0.18092409629065265,-0.19516596163108202,-0.165966072743159,0.35555302621332147,0.07517773878400265,-0.12597435085365327,1.0,-0.012329545382175403,0.06946055019630137,0.2655509190272168,0.15434305235563772,0.014903146207424996,-0.11103417429500478,0.0011215830263517615,0.06709827026440822
existing_credits,0.16313461688374564,0.05701529507665629,0.38870638548383807,0.10547255787012806,0.0555485465362194,0.04942846612836928,0.07685506174391042,-0.10179346492124718,0.22372334618871517,0.03307130418996587,0.03438274034553215,0.04127291558352622,0.18254457018458772,0.034230903025491394,-0.012329545382175403,1.0,0.00947180817787187,0.16924483803411033,0.10045426007353019,-0.0644658371220305,-0.0388779733617947,-0.06742332011019189,-0.13668690094310784
job,-0.028664204953849658,0.19003074114185903,0.05715507166599482,0.04583919011083857,0.2921038928622205,-0.10539730311929407,0.05400953422143133,-0.0027899933993717767,-0.11217365563450767,0.03125640819805389,0.08527512297049328,0.2201632988367629,0.10168206409779713,0.0671297630497805,0.06946055019630137,0.00947180817787187,1.0,-0.2782300306003769,0.4541822072840996,0.15112549070333656,0.03417344823558355,0.13890925693752043,-0.09263922880763041
num_dependents,-0.0004947973443054864,0.13079340621173202,0.0015655180943583169,0.18261251751169957,-0.03896659093771772,0.10544678569011638,0.11159189540125011,0.04212434988382135,0.30125832365742095,0.15301879110398178,0.025810530052594,0.09479337855024901,0.2741132100468435,-0.03434880393151094,0.2655509190272168,0.16924483803411033,-0.2782300306003769,1.0,0.07540928013539971,-0.048393391849582724,-0.05370261714685863,0.006338565402494982,0.10708168259445308
own_telephone,-0.07808605753440406,0.06249588074539052,0.11595988027722712,0.02245768058435876,0.4123084799870419,0.10969365671587013,-0.07993914962225666,-0.11488086975976373,0.20315689622191377,0.13033063307350193,0.07890816492239151,0.3000705721435664,0.2812319294874201,-0.007734428900703084,0.15434305235563772,0.10045426007353019,0.4541822072840996,0.07540928013539971,1.0,0.1438389904456153,0.09490161908020181,0.2869411634716967,0.07023713783553248
foreign_worker,-0.09348097458659897,-0.09307961495621739,-0.03234983196103155,-0.10938497324843749,0.15927245909219936,-0.07039515697979397,0.176138284809103,-0.2244383007048742,-0.27837241312385197,-0.039974424549814924,0.11581275925878624,-0.05529570105583313,0.10954044004471429,0.05530776153902619,0.014903146207424996,-0.0644658371220305,0.15112549070333656,-0.048393391849582724,0.1438389904456153,1.0,0.07711859927808858,0.015883836805642905,-0.04177573609837263
Discriminacao,-0.3831950507219303,0.23403116598112025,-0.23136165998512545,0.17644717781907823,0.1037089550580095,-0.34166053959562936,-0.05728695855822259,-0.10615461915511584,0.02320139171199945,-0.027422978858586012,0.16930778572654318,0.31055627579723744,0.02041069267706905,-0.1803975317217206,-0.11103417429500478,-0.0388779733617947,0.03417344823558355,-0.05370261714685863,0.09490161908020181,0.07711859927808858,1.0,0.5245094000739495,0.6381935009872601
Dificuldade,-0.0715519284579043,0.08690062800078295,-0.07421034022688096,-0.07774778227260619,0.3358703036711077,-0.17444908707021242,0.06487101981545917,-0.18147428540303887,0.18214178478879192,-0.014444784108237107,0.033102933473198766,0.22153273244071334,0.25452504406670173,-0.2154372688738304,0.0011215830263517615,-0.06742332011019189,0.13890925693752043,0.006338565402494982,0.2869411634716967,0.015883836805642905,0.5245094000739495,1.0,0.4518215289835519
Adivinhacao,-0.061543819689743554,0.23404807750753226,-0.23622348045090555,0.20362631933017716,0.03710789098267046,-0.1859530953711605,0.02212983691899543,0.0425805092838774,0.02933647838183582,-0.09735645064354238,0.11193149988426013,0.2390838762027088,0.006541255767633547,-0.12344856137645306,0.06709827026440822,-0.13668690094310784,-0.09263922880763041,0.10708168259445308,0.07023713783553248,-0.04177573609837263,0.6381935009872601,0.4518215289835519,1.0
